#,ACT-Scene,Text
1,Title Page,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK

by William Shakespeare


SCENE"
2,ACT I - Scene I,".- Elsinore.


ACT I. Scene I.
Elsinore. A platform before the Castle.

"
2,Title Page,".- Elsinore.


ACT I. Scene I.
Elsinore. A platform before the Castle.

"
3,ACT I - Scene I,"Enter two Sentinels-[first,] Francisco, [who paces up and down
at his po"
4,ACT I - Scene I,"st; then] Bernardo, [who approaches him].

  Ber. Who's there.?
  Fran. "
5,ACT I - Scene I,"Nay, answer me. Stand and unfold yourself.
  Ber. Long live the King!
  "
6,ACT I - Scene I,"Fran. Bernardo?
  Ber. He.
  Fran. You come most carefully upon your hou"
7,ACT I - Scene I,"r.
  Ber. 'Tis now struck twelve. Get thee to bed, Francisco.
  Fran. Fo"
8,ACT I - Scene I,"r this relief much thanks. 'Tis bitter cold,
    And I am sick at heart."
9,ACT I - Scene I,"
  Ber. Have you had quiet guard?
  Fran. Not a mouse stirring.
  Ber. W"
10,ACT I - Scene I,"ell, good night.
    If you do meet Horatio and Marcellus,
    The rival"
11,ACT I - Scene I,"s of my watch, bid them make haste.

                    Enter Horatio a"
12,ACT I - Scene I,"nd Marcellus.  

  Fran. I think I hear them. Stand, ho! Who is there?
 "
13,ACT I - Scene I," Hor. Friends to this ground.
  Mar. And liegemen to the Dane.
  Fran. G"
14,ACT I - Scene I,"ive you good night.
  Mar. O, farewell, honest soldier.
    Who hath rel"
15,ACT I - Scene I,"iev'd you?
  Fran. Bernardo hath my place.
    Give you good night.     "
16,ACT I - Scene I,"                              Exit.
  Mar. Holla, Bernardo!
  Ber. Say-
"
17,ACT I - Scene I,"    What, is Horatio there ?
  Hor. A piece of him.
  Ber. Welcome, Hora"
18,ACT I - Scene I,"tio. Welcome, good Marcellus.
  Mar. What, has this thing appear'd again"
19,ACT I - Scene I," to-night?
  Ber. I have seen nothing.
  Mar. Horatio says 'tis but our "
20,ACT I - Scene I,"fantasy,
    And will not let belief take hold of him
    Touching this "
21,ACT I - Scene I,"dreaded sight, twice seen of us.
    Therefore I have entreated him alon"
22,ACT I - Scene I,"g,  
    With us to watch the minutes of this night,
    That, if again "
23,ACT I - Scene I,"this apparition come,
    He may approve our eyes and speak to it.
  Hor"
24,ACT I - Scene I,". Tush, tush, 'twill not appear.
  Ber. Sit down awhile,
    And let us "
25,ACT I - Scene I,"once again assail your ears,
    That are so fortified against our story"
26,ACT I - Scene I,",
    What we two nights have seen.
  Hor. Well, sit we down,
    And le"
27,ACT I - Scene I,"t us hear Bernardo speak of this.
  Ber. Last night of all,
    When yon"
28,ACT I - Scene I,"d same star that's westward from the pole
    Had made his course t' ill"
29,ACT I - Scene I,"ume that part of heaven
    Where now it burns, Marcellus and myself,
  "
30,ACT I - Scene I,"  The bell then beating one-

                        Enter Ghost.

  Ma"
31,ACT I - Scene I,"r. Peace! break thee off! Look where it comes again!
  Ber. In the same "
32,ACT I - Scene I,"figure, like the King that's dead.  
  Mar. Thou art a scholar; speak to"
33,ACT I - Scene I," it, Horatio.
  Ber. Looks it not like the King? Mark it, Horatio.
  Hor"
34,ACT I - Scene I,". Most like. It harrows me with fear and wonder.
  Ber. It would be spok"
35,ACT I - Scene I,"e to.
  Mar. Question it, Horatio.
  Hor. What art thou that usurp'st th"
36,ACT I - Scene I,"is time of night
    Together with that fair and warlike form
    In whi"
37,ACT I - Scene I,"ch the majesty of buried Denmark
    Did sometimes march? By heaven I ch"
38,ACT I - Scene I,"arge thee speak!
  Mar. It is offended.
  Ber. See, it stalks away!
  Ho"
39,ACT I - Scene I,"r. Stay! Speak, speak! I charge thee speak!
                            "
40,ACT I - Scene I,"                         Exit Ghost.
  Mar. 'Tis gone and will not answe"
41,ACT I - Scene I,"r.
  Ber. How now, Horatio? You tremble and look pale.
    Is not this s"
42,ACT I - Scene I,"omething more than fantasy?
    What think you on't?
  Hor. Before my Go"
43,ACT I - Scene I,"d, I might not this believe
    Without the sensible and true avouch
   "
44,ACT I - Scene I," Of mine own eyes.  
  Mar. Is it not like the King?
  Hor. As thou art "
45,ACT I - Scene I,"to thyself.
    Such was the very armour he had on
    When he th' ambit"
46,ACT I - Scene I,"ious Norway combated.
    So frown'd he once when, in an angry parle,
  "
47,ACT I - Scene I,"  He smote the sledded Polacks on the ice.
    'Tis strange.
  Mar. Thus"
48,ACT I - Scene I," twice before, and jump at this dead hour,
    With martial stalk hath h"
49,ACT I - Scene I,"e gone by our watch.
  Hor. In what particular thought to work I know no"
50,ACT I - Scene I,"t;
    But, in the gross and scope of my opinion,
    This bodes some st"
51,ACT I - Scene I,"range eruption to our state.
  Mar. Good now, sit down, and tell me he t"
52,ACT I - Scene I,"hat knows,
    Why this same strict and most observant watch
    So nigh"
53,ACT I - Scene I,"tly toils the subject of the land,
    And why such daily cast of brazen"
54,ACT I - Scene I," cannon
    And foreign mart for implements of war;
    Why such impress"
55,ACT I - Scene I," of shipwrights, whose sore task
    Does not divide the Sunday from the"
56,ACT I - Scene I," week.
    What might be toward, that this sweaty haste  
    Doth make "
57,ACT I - Scene I,"the night joint-labourer with the day?
    Who is't that can inform me?
"
58,ACT I - Scene I,"  Hor. That can I.
    At least, the whisper goes so. Our last king,
   "
59,ACT I - Scene I," Whose image even but now appear'd to us,
    Was, as you know, by Forti"
60,ACT I - Scene I,"nbras of Norway,
    Thereto prick'd on by a most emulate pride,
    Dar"
61,ACT I - Scene I,"'d to the combat; in which our valiant Hamlet
    (For so this side of o"
62,ACT I - Scene I,"ur known world esteem'd him)
    Did slay this Fortinbras; who, by a sea"
63,ACT I - Scene I,"l'd compact,
    Well ratified by law and heraldry,
    Did forfeit, wit"
64,ACT I - Scene I,"h his life, all those his lands
    Which he stood seiz'd of, to the con"
65,ACT I - Scene I,"queror;
    Against the which a moiety competent
    Was gaged by our ki"
66,ACT I - Scene I,"ng; which had return'd
    To the inheritance of Fortinbras,
    Had he "
67,ACT I - Scene I,"been vanquisher, as, by the same comart
    And carriage of the article "
68,ACT I - Scene I,"design'd,
    His fell to Hamlet. Now, sir, young Fortinbras,
    Of uni"
69,ACT I - Scene I,"mproved mettle hot and full,  
    Hath in the skirts of Norway, here an"
70,ACT I - Scene I,"d there,
    Shark'd up a list of lawless resolutes,
    For food and di"
71,ACT I - Scene I,"et, to some enterprise
    That hath a stomach in't; which is no other,
"
72,ACT I - Scene I,"    As it doth well appear unto our state,
    But to recover of us, by "
73,ACT I - Scene I,"strong hand
    And terms compulsatory, those foresaid lands
    So by h"
74,ACT I - Scene I,"is father lost; and this, I take it,
    Is the main motive of our prepa"
75,ACT I - Scene I,"rations,
    The source of this our watch, and the chief head
    Of thi"
76,ACT I - Scene I,"s post-haste and romage in the land.
  Ber. I think it be no other but e"
77,ACT I - Scene I,"'en so.
    Well may it sort that this portentous figure
    Comes armed"
78,ACT I - Scene I," through our watch, so like the King
    That was and is the question of"
79,ACT I - Scene I," these wars.
  Hor. A mote it is to trouble the mind's eye.
    In the m"
80,ACT I - Scene I,"ost high and palmy state of Rome,
    A little ere the mightiest Julius "
81,ACT I - Scene I,"fell,
    The graves stood tenantless, and the sheeted dead
    Did sque"
82,ACT I - Scene I,"ak and gibber in the Roman streets;  
    As stars with trains of fire, "
83,ACT I - Scene I,"and dews of blood,
    Disasters in the sun; and the moist star
    Upon"
84,ACT I - Scene I," whose influence Neptune's empire stands
    Was sick almost to doomsday"
85,ACT I - Scene I," with eclipse.
    And even the like precurse of fierce events,
    As h"
86,ACT I - Scene I,"arbingers preceding still the fates
    And prologue to the omen coming "
87,ACT I - Scene I,"on,
    Have heaven and earth together demonstrated
    Unto our climatu"
88,ACT I - Scene I,"re and countrymen.

                      Enter Ghost again.

    But so"
89,ACT I - Scene I,"ft! behold! Lo, where it comes again!
    I'll cross it, though it blast"
90,ACT I - Scene I," me.- Stay illusion!
                                               Spre"
91,ACT I - Scene I,"ads his arms.
    If thou hast any sound, or use of voice,
    Speak to "
92,ACT I - Scene I,"me.
    If there be any good thing to be done,
    That may to thee do e"
93,ACT I - Scene I,"ase, and, race to me,
    Speak to me.  
    If thou art privy to thy co"
94,ACT I - Scene I,"untry's fate,
    Which happily foreknowing may avoid,
    O, speak!
   "
95,ACT I - Scene I," Or if thou hast uphoarded in thy life
    Extorted treasure in the womb"
96,ACT I - Scene I," of earth
    (For which, they say, you spirits oft walk in death),
    "
97,ACT I - Scene I,"                                             The cock crows.
    Speak o"
98,ACT I - Scene I,"f it! Stay, and speak!- Stop it, Marcellus!
  Mar. Shall I strike at it "
99,ACT I - Scene I,"with my partisan?
  Hor. Do, if it will not stand.
  Ber. 'Tis here!
  H"
100,ACT I - Scene I,"or. 'Tis here!
  Mar. 'Tis gone!
                                       "
101,ACT I - Scene I,"              Exit Ghost.
    We do it wrong, being so majestical,
    T"
102,ACT I - Scene I,"o offer it the show of violence;
    For it is as the air, invulnerable,"
103,ACT I - Scene I,"
    And our vain blows malicious mockery.
  Ber. It was about to speak,"
104,ACT I - Scene I," when the cock crew.
  Hor. And then it started, like a guilty thing  
 "
105,ACT I - Scene I,"   Upon a fearful summons. I have heard
    The cock, that is the trumpe"
106,ACT I - Scene I,"t to the morn,
    Doth with his lofty and shrill-sounding throat
    Aw"
107,ACT I - Scene I,"ake the god of day; and at his warning,
    Whether in sea or fire, in e"
108,ACT I - Scene I,"arth or air,
    Th' extravagant and erring spirit hies
    To his confi"
109,ACT I - Scene I,"ne; and of the truth herein
    This present object made probation.
  Ma"
110,ACT I - Scene I,"r. It faded on the crowing of the cock.
    Some say that ever, 'gainst "
111,ACT I - Scene I,"that season comes
    Wherein our Saviour's birth is celebrated,
    The"
112,ACT I - Scene I," bird of dawning singeth all night long;
    And then, they say, no spir"
113,ACT I - Scene I,"it dare stir abroad,
    The nights are wholesome, then no planets strik"
114,ACT I - Scene I,"e,
    No fairy takes, nor witch hath power to charm,
    So hallow'd an"
115,ACT I - Scene I,"d so gracious is the time.
  Hor. So have I heard and do in part believe"
116,ACT I - Scene I," it.
    But look, the morn, in russet mantle clad,
    Walks o'er the d"
117,ACT I - Scene I,"ew of yon high eastward hill.
    Break we our watch up; and by my advic"
118,ACT I - Scene I,"e  
    Let us impart what we have seen to-night
    Unto young Hamlet; "
119,ACT I - Scene I,"for, upon my life,
    This spirit, dumb to us, will speak to him.
    D"
120,ACT I - Scene I,"o you consent we shall acquaint him with it,
    As needful in our loves"
121,ACT I - Scene I,", fitting our duty?
    Let's do't, I pray; and I this morning know
    "
122,ACT I - Scene II,"Where we shall find him most conveniently.           Exeunt.




Scene I"
122,ACT I - Scene I,"Where we shall find him most conveniently.           Exeunt.




Scene I"
123,ACT I - Scene II,"I.
Elsinore. A room of state in the Castle.

Flourish. [Enter Claudius, "
124,ACT I - Scene II,"King of Denmark, Gertrude the Queen, Hamlet,
Polonius, Laertes and his s"
125,ACT I - Scene II,"ister Ophelia, [Voltemand, Cornelius,]
Lords Attendant.

  King. Though "
126,ACT I - Scene II,"yet of Hamlet our dear brother's death
    The memory be green, and that"
127,ACT I - Scene II," it us befitted
    To bear our hearts in grief, and our whole kingdom
 "
128,ACT I - Scene II,"   To be contracted in one brow of woe,
    Yet so far hath discretion f"
129,ACT I - Scene II,"ought with nature
    That we with wisest sorrow think on him
    Togeth"
130,ACT I - Scene II,"er with remembrance of ourselves.
    Therefore our sometime sister, now"
131,ACT I - Scene II," our queen,
    Th' imperial jointress to this warlike state,
    Have w"
